key,name
agriculture_chp_engine_biogas.output (MW),flexibility
agriculture_chp_engine_network_gas_dispatchable.output (MW),flexibility
agriculture_chp_engine_network_gas_must_run.output (MW),flexibility
agriculture_chp_wood_pellets.output (MW),flexibility
agriculture_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
agriculture_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
agriculture_flexibility_p2h_network_gas_electricity.input (MW),flexibility
agriculture_flexibility_p2h_network_gas_electricity.output (MW),flexibility
agriculture_geothermal.input (MW),demand
agriculture_heatpump_water_water_electricity.input (MW),demand
agriculture_heatpump_water_water_ts_electricity.input (MW),demand
agriculture_useful_demand_electricity.input (MW),demand
buildings_appliances_electricity.input (MW),demand
buildings_cooling_airconditioning_electricity.input (MW),demand
buildings_cooling_collective_heatpump_water_water_ts_electricity.input (MW),demand
buildings_cooling_heatpump_air_water_electricity.input (MW),demand
buildings_cooling_heatpump_surface_water_water_ts_electricity.input (MW),demand
buildings_lighting_efficient_fluorescent_electricity.input (MW),demand
buildings_lighting_led_electricity.input (MW),demand
buildings_lighting_standard_fluorescent_electricity.input (MW),demand
buildings_solar_pv_solar_radiation.output (MW),supply
buildings_space_heater_collective_heatpump_water_water_ts_electricity.input (MW),demand
buildings_space_heater_electricity.input (MW),demand
buildings_space_heater_heatpump_air_water_electricity.input (MW),demand
buildings_space_heater_heatpump_surface_water_water_ts_electricity.input (MW),demand
buildings_space_heater_hybrid_heatpump_air_water_electricity.input (MW),demand
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),demand
deficit,deficit
energy_battery_solar_electricity.output (MW),supply
energy_battery_wind_electricity.output (MW),supply
energy_chp_coal_gas.output (MW),flexibility
energy_chp_combined_cycle_ht_network_gas.output (MW),flexibility
energy_chp_combined_cycle_mt_network_gas.output (MW),flexibility
energy_chp_local_engine_ht_biogas.output (MW),flexibility
energy_chp_local_engine_mt_biogas.output (MW),flexibility
energy_chp_local_engine_ht_network_gas.output (MW),flexibility
energy_chp_local_engine_mt_network_gas.output (MW),flexibility
energy_chp_local_ht_wood_pellets.output (MW),flexibility
energy_chp_local_mt_wood_pellets.output (MW),flexibility
energy_chp_supercritical_ccs_ht_waste_mix.output (MW),flexibility
energy_chp_supercritical_ccs_mt_waste_mix.output (MW),flexibility
energy_chp_supercritical_ht_waste_mix.output (MW),flexibility
energy_chp_supercritical_mt_waste_mix.output (MW),flexibility
energy_chp_ultra_supercritical_ht_coal.output (MW),flexibility
energy_chp_ultra_supercritical_mt_coal.output (MW),flexibility
energy_chp_ultra_supercritical_cofiring_ht_coal.output (MW),flexibility
energy_chp_ultra_supercritical_cofiring_mt_coal.output (MW),flexibility
energy_chp_ultra_supercritical_ht_lignite.output (MW),flexibility
energy_chp_ultra_supercritical_mt_lignite.output (MW),flexibility
energy_compressor_network_gas.input (MW),demand
energy_direct_air_capture_co2_electricity.input (MW),demand
energy_flexibility_curtailment_electricity.input (MW),flexibility
energy_flexibility_flow_batteries_electricity.input (MW),flexibility
energy_flexibility_flow_batteries_electricity.output (MW),flexibility
energy_flexibility_hv_opac_electricity.input (MW),flexibility
energy_flexibility_hv_opac_electricity.output (MW),flexibility
energy_flexibility_mv_batteries_electricity.input (MW),flexibility
energy_flexibility_mv_batteries_electricity.output (MW),flexibility
energy_flexibility_pumped_storage_electricity.input (MW),flexibility
energy_flexibility_pumped_storage_electricity.output (MW),flexibility
energy_heat_boiler_ht_electricity.input (MW),demand
energy_heat_boiler_lt_electricity.input (MW),demand
energy_heat_boiler_mt_electricity.input (MW),demand
energy_heat_flexibility_p2h_boiler_ht_electricity.input (MW),flexibility
energy_heat_flexibility_p2h_boiler_mt_electricity.input (MW),flexibility
energy_heat_flexibility_p2h_boiler_ht_electricity.output (MW),flexibility
energy_heat_flexibility_p2h_boiler_mt_electricity.output (MW),flexibility
energy_heat_flexibility_p2h_heatpump_ht_electricity.input (MW),flexibility
energy_heat_flexibility_p2h_heatpump_mt_electricity.input (MW),flexibility
energy_heat_flexibility_p2h_heatpump_ht_electricity.output (MW),flexibility
energy_heat_flexibility_p2h_heatpump_mt_electricity.output (MW),flexibility
energy_heat_heatpump_drink_water_water_ts_lt_electricity.input (MW),demand
energy_heat_heatpump_drink_water_water_ts_mt_electricity.input (MW),demand
energy_heat_heatpump_surface_water_water_ts_lt_electricity.input (MW),demand
energy_heat_heatpump_surface_water_water_ts_mt_electricity.input (MW),demand
energy_heat_heatpump_waste_water_water_ts_lt_electricity.input (MW),demand
energy_heat_heatpump_waste_water_water_ts_mt_electricity.input (MW),demand
energy_heat_heatpump_water_water_ht_electricity.input (MW),demand
energy_heat_heatpump_water_water_lt_electricity.input (MW),demand
energy_heat_heatpump_water_water_mt_electricity.input (MW),demand
energy_heat_well_deep_ht_geothermal.input (MW),demand
energy_heat_well_deep_mt_geothermal.input (MW),demand
energy_heat_well_shallow_heatpump_mt_geothermal.input (MW),demand
energy_heat_well_shallow_lt_geothermal.input (MW),demand
energy_hydrogen_flexibility_p2g_electricity.input (MW),flexibility
energy_hydrogen_flexibility_p2g_electricity.output (MW),flexibility
energy_interconnector_1_exported_electricity.input (MW),exchange
energy_interconnector_1_imported_electricity.output (MW),exchange
energy_interconnector_10_exported_electricity.input (MW),exchange
energy_interconnector_10_imported_electricity.output (MW),exchange
energy_interconnector_11_exported_electricity.input (MW),exchange
energy_interconnector_11_imported_electricity.output (MW),exchange
energy_interconnector_12_exported_electricity.input (MW),exchange
energy_interconnector_12_imported_electricity.output (MW),exchange
energy_interconnector_2_exported_electricity.input (MW),exchange
energy_interconnector_2_imported_electricity.output (MW),exchange
energy_interconnector_3_exported_electricity.input (MW),exchange
energy_interconnector_3_imported_electricity.output (MW),exchange
energy_interconnector_4_exported_electricity.input (MW),exchange
energy_interconnector_4_imported_electricity.output (MW),exchange
energy_interconnector_5_exported_electricity.input (MW),exchange
energy_interconnector_5_imported_electricity.output (MW),exchange
energy_interconnector_6_exported_electricity.input (MW),exchange
energy_interconnector_6_imported_electricity.output (MW),exchange
energy_interconnector_7_exported_electricity.input (MW),exchange
energy_interconnector_7_imported_electricity.output (MW),exchange
energy_interconnector_8_exported_electricity.input (MW),exchange
energy_interconnector_8_imported_electricity.output (MW),exchange
energy_interconnector_9_exported_electricity.input (MW),exchange
energy_interconnector_9_imported_electricity.output (MW),exchange
energy_offshore_sequestration_co2_electricity.input (MW),demand
energy_power_combined_cycle_ccs_coal.output (MW),flexibility
energy_power_combined_cycle_ccs_network_gas.output (MW),flexibility
energy_power_combined_cycle_coal.output (MW),flexibility
energy_power_combined_cycle_coal_gas.output (MW),flexibility
energy_power_combined_cycle_hydrogen.output (MW),flexibility
energy_power_combined_cycle_network_gas.output (MW),flexibility
energy_power_engine_diesel.output (MW),flexibility
energy_power_engine_network_gas.output (MW),flexibility
energy_power_geothermal.output (MW),flexibility
energy_power_hv_network_loss.input (MW),demand
energy_power_hydro_mountain.output (MW),flexibility
energy_power_hydro_river.output (MW),flexibility
energy_power_nuclear_gen2_uranium_oxide.output (MW),flexibility
energy_power_nuclear_gen3_uranium_oxide.output (MW),flexibility
energy_power_nuclear_small_modular_reactor_uranium_oxide.output (MW),flexibility
energy_power_sector_own_use_electricity.input (MW),demand
energy_power_solar_csp_solar_radiation.output (MW),supply
energy_power_solar_pv_offshore.output (MW),supply
energy_power_solar_pv_solar_radiation.output (MW),supply
energy_power_supercritical_ccs_waste_mix.output (MW),flexibility
energy_power_supercritical_coal.output (MW),flexibility
energy_power_supercritical_waste_mix.output (MW),flexibility
energy_power_turbine_hydrogen.output (MW),flexibility
energy_power_turbine_network_gas.output (MW),flexibility
energy_power_ultra_supercritical_ccs_coal.output (MW),flexibility
energy_power_ultra_supercritical_coal.output (MW),flexibility
energy_power_ultra_supercritical_cofiring_coal.output (MW),flexibility
energy_power_ultra_supercritical_crude_oil.output (MW),flexibility
energy_power_ultra_supercritical_lignite.output (MW),flexibility
energy_power_ultra_supercritical_network_gas.output (MW),flexibility
energy_power_ultra_supercritical_oxyfuel_ccs_lignite.output (MW),flexibility
energy_power_wind_turbine_coastal.output (MW),supply
energy_power_wind_turbine_inland.output (MW),supply
energy_power_wind_turbine_offshore.output (MW),supply
energy_synthetic_products_electricity.input (MW),demand
households_cooker_halogen_electricity.input (MW),demand
households_cooker_induction_electricity.input (MW),demand
households_cooker_resistive_electricity.input (MW),demand
households_cooling_airconditioning_electricity.input (MW),demand
households_cooling_heatpump_air_water_electricity.input (MW),demand
households_cooling_heatpump_ground_water_electricity.input (MW),demand
households_cooling_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_final_demand_for_appliances_electricity.input (MW),demand
households_flexibility_p2p_electricity.input (MW),flexibility
households_flexibility_p2p_electricity.output (MW),flexibility
households_lighting_efficient_fluorescent_electricity.input (MW),demand
households_lighting_incandescent_electricity.input (MW),demand
households_lighting_led_electricity.input (MW),demand
households_solar_pv_solar_radiation.output (MW),supply
households_solar_pvt_solar_radiation.output (MW),supply
households_space_heater_electricity.input (MW),demand
households_space_heater_heatpump_air_water_electricity.input (MW),demand
households_space_heater_heatpump_ground_water_electricity.input (MW),demand
households_space_heater_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_space_heater_heatpump_pvt_electricity.input (MW),demand
households_space_heater_hybrid_heatpump_air_water_electricity.input (MW),demand
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),demand
households_water_heater_heatpump_air_water_electricity.input (MW),demand
households_water_heater_heatpump_ground_water_electricity.input (MW),demand
households_water_heater_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_water_heater_heatpump_pvt_electricity.input (MW),demand
households_water_heater_hybrid_heatpump_air_water_electricity.input (MW),demand
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),demand
households_water_heater_resistive_electricity.input (MW),demand
industry_chemical_other_captured_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_captured_combustion_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_captured_processes_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_other_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_other_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chemicals_other_heater_electricity.input (MW),demand
industry_chemicals_other_heatpump_water_water_electricity.input (MW),demand
industry_chemicals_other_steam_recompression_electricity.input (MW),demand
industry_chemicals_refineries_captured_co2_electricity.input (MW),demand
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chp_combined_cycle_gas_power_fuelmix.output (MW),flexibility
industry_chp_engine_gas_power_fuelmix.output (MW),flexibility
industry_chp_turbine_gas_power_fuelmix.output (MW),flexibility
industry_chp_turbine_hydrogen.output (MW),flexibility
industry_chp_ultra_supercritical_coal.output (MW),flexibility
industry_chp_wood_pellets.output (MW),flexibility
industry_final_demand_for_chemical_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_chemical_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_metal_aluminium_electricity.input (MW),demand
industry_final_demand_for_metal_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_metal_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_metal_other_metals_electricity.input (MW),demand
industry_final_demand_for_other_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_other_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_other_ict_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_other_ict_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_other_ict_electricity.input (MW),demand
industry_final_demand_for_other_non_specified_electricity.input (MW),demand
industry_heat_well_geothermal.input (MW),demand
industry_other_food_captured_co2_electricity.input (MW),demand
industry_other_food_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_other_food_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_other_food_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_other_food_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_other_food_heater_electricity.input (MW),demand
industry_other_paper_captured_co2_electricity.input (MW),demand
industry_other_paper_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_other_paper_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_other_paper_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_other_paper_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_other_paper_heater_electricity.input (MW),demand
industry_steel_blastfurnace_bof.input (MW),demand
industry_steel_blastfurnace_bof_captured_co2_electricity.input (MW),demand
industry_steel_cyclonefurnace_bof.input (MW),demand
industry_steel_cyclonefurnace_bof_captured_co2_electricity.input (MW),demand
industry_steel_dri_hydrogen.input (MW),demand
industry_steel_dri_network_gas.input (MW),demand
industry_steel_dri_network_gas_captured_co2_electricity.input (MW),demand
industry_steel_external_coupling_node.input (MW),demand
industry_steel_external_coupling_node_captured_co2_electricity.input (MW),demand
industry_steel_scrap_hbi_eaf.input (MW),demand
industry_useful_demand_for_chemical_fertilizers_electricity.input (MW),demand
industry_useful_demand_for_chemical_other_electricity.input (MW),demand
industry_useful_demand_for_chemical_refineries_electricity.input (MW),demand
industry_useful_demand_for_other_food_electricity.input (MW),demand
industry_useful_demand_for_other_paper_electricity.input (MW),demand
other_final_demand_electricity.input (MW),demand
transport_bicycle_using_electricity.input (MW),demand
transport_bus_flexibility_p2p_electricity.input (MW),flexibility
transport_bus_flexibility_p2p_electricity.output (MW),flexibility
transport_bus_using_electricity.input (MW),demand
transport_car_flexibility_p2p_electricity.input (MW),flexibility
transport_car_flexibility_p2p_electricity.output (MW),flexibility
transport_car_using_electricity.input (MW),demand
transport_freight_train_using_electricity.input (MW),demand
transport_motorcycle_using_electricity.input (MW),demand
transport_passenger_train_using_electricity.input (MW),demand
transport_plane_using_electricity.input (MW),demand
transport_ship_using_electricity.input (MW),demand
transport_tram_using_electricity.input (MW),demand
transport_truck_flexibility_p2p_electricity.input (MW),flexibility
transport_truck_flexibility_p2p_electricity.output (MW),flexibility
transport_truck_using_electricity.input (MW),demand
transport_van_flexibility_p2p_electricity.input (MW),flexibility
transport_van_flexibility_p2p_electricity.output (MW),flexibility
transport_van_using_electricity.input (MW),demand
